mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.07117342948913574,0.004239200448971401,0.004963795344034831,0.00021208931463744584,3,50,"{'max_depth': 3, 'n_estimators': 50}",0.8801329949597131,0.8760425799877474,0.815734763103184,0.8573034460168816,0.02944089472197205,12
0.1414486567179362,0.0013697143611311683,0.00796357790629069,0.0004815892546225531,3,100,"{'max_depth': 3, 'n_estimators': 100}",0.8913583295605767,0.8873558507792311,0.8458188834128684,0.8748443545842255,0.020589049543195497,11
0.2705981731414795,0.016237739564052046,0.011940638224283854,0.0008837373994233603,3,200,"{'max_depth': 3, 'n_estimators': 200}",0.9026217228464419,0.8911504901713644,0.8383527195446318,0.8773749775208127,0.02798749432563473,10
0.07393773396809895,0.0023187306077597962,0.004877567291259766,0.0001957580603671,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.9026162589098942,0.9023750706753336,0.887224421297477,0.897405250294235,0.007199606574299396,9
0.14988183975219727,0.004093200472800703,0.007161140441894531,0.0001799360669837394,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.917605307920144,0.9136054345369149,0.887224421297477,0.9061450545848454,0.013478192751423023,7
0.28746851285298664,0.004917550594036451,0.0121002197265625,0.0004789928742535855,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.9138576779026217,0.9173267922139579,0.8797060493839756,0.9036301731668517,0.016976090296061782,8
0.08633200327555339,0.0035590573535904894,0.005197207132975261,0.0004411615823896175,7,50,"{'max_depth': 7, 'n_estimators': 50}",0.9101123595505618,0.9285682054058934,0.8872180451127819,0.9086328700230789,0.016913517395128096,6
0.1800088882446289,0.014029342640328357,0.009278615315755209,0.0018590540405625862,7,100,"{'max_depth': 7, 'n_estimators': 100}",0.9138576779026217,0.9286305763565819,0.8984890652639999,0.9136591065077345,0.012306021444404406,5
0.34781821568806964,0.021667866647031835,0.01426545778910319,0.0005555552403205603,7,200,"{'max_depth': 7, 'n_estimators': 200}",0.9101148813674299,0.9323582845386928,0.9135081541096578,0.9186604400052601,0.009784401995773854,2
0.10054985682169597,0.0010840773211846155,0.005546728769938151,4.2541221255961725e-05,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9138455936882572,0.9249567118716903,0.9135375011517797,0.9174466022372423,0.005311938773105249,3
0.17516231536865234,0.012128763397820728,0.0074574947357177734,0.00014723655125213235,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9250936329588015,0.9286848039053767,0.9248162808649847,0.9261982392430544,0.0017619087965270162,1
0.35808873176574707,0.01779227508883768,0.012665589650472006,0.00048774413766757506,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.9138600947454947,0.9248425383763254,0.9135081541096578,0.9174035957438259,0.005262088696199209,4
