mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.07302339871724446,0.002597785047952639,0.004865328470865886,0.000187437274532594,3,50,"{'max_depth': 3, 'n_estimators': 50}",0.8801329949597131,0.8760425799877474,0.815734763103184,0.8573034460168816,0.02944089472197205,12
0.14867456754048666,0.006371166202038497,0.008310556411743164,0.0006517837503620097,3,100,"{'max_depth': 3, 'n_estimators': 100}",0.8913583295605767,0.8873558507792311,0.8458188834128684,0.8748443545842255,0.020589049543195497,11
0.2955433527628581,0.0025804626048671992,0.012322107950846354,0.0008570363728505455,3,200,"{'max_depth': 3, 'n_estimators': 200}",0.9026217228464419,0.8911504901713644,0.8383527195446318,0.8773749775208127,0.02798749432563473,10
0.08606648445129395,0.0060441504223486,0.005265394846598308,0.0002148414967990285,5,50,"{'max_depth': 5, 'n_estimators': 50}",0.9026162589098942,0.9023750706753336,0.887224421297477,0.897405250294235,0.007199606574299396,9
0.16215030352274576,0.0105678257108897,0.007211367289225261,0.00022188255977778255,5,100,"{'max_depth': 5, 'n_estimators': 100}",0.917605307920144,0.9136054345369149,0.887224421297477,0.9061450545848454,0.013478192751423023,7
0.3322107791900635,0.02390719287274596,0.014100392659505209,0.0015220181271408543,5,200,"{'max_depth': 5, 'n_estimators': 200}",0.9138576779026217,0.9173267922139579,0.8797060493839756,0.9036301731668517,0.016976090296061782,8
0.11735224723815918,0.032937433218734165,0.0055196285247802734,0.00020575205666751263,7,50,"{'max_depth': 7, 'n_estimators': 50}",0.9101123595505618,0.9285682054058934,0.8872180451127819,0.9086328700230789,0.016913517395128096,6
0.1828335920969645,0.006586634275208533,0.007979472478230795,0.00023052798593341267,7,100,"{'max_depth': 7, 'n_estimators': 100}",0.9138576779026217,0.9286305763565819,0.8984890652639999,0.9136591065077345,0.012306021444404406,5
0.3655899365743001,0.010676952775993336,0.013666311899820963,0.0005631655218059179,7,200,"{'max_depth': 7, 'n_estimators': 200}",0.9101148813674299,0.9323582845386928,0.9135081541096578,0.9186604400052601,0.009784401995773854,2
0.1251863638559977,0.034109868865886246,0.007201194763183594,0.0014995243738154544,10,50,"{'max_depth': 10, 'n_estimators': 50}",0.9138455936882572,0.9249567118716903,0.9135375011517797,0.9174466022372423,0.005311938773105249,3
0.20487682024637857,0.02150842145412278,0.008183956146240234,0.00042405370033628823,10,100,"{'max_depth': 10, 'n_estimators': 100}",0.9250936329588015,0.9286848039053767,0.9248162808649847,0.9261982392430544,0.0017619087965270162,1
0.3872675100962321,0.007545630580752706,0.014690558115641275,0.0007429773863003805,10,200,"{'max_depth': 10, 'n_estimators': 200}",0.9138600947454947,0.9248425383763254,0.9135081541096578,0.9174035957438259,0.005262088696199209,4
